date,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2017-09-11 16:00:00,4246.43,4280.0,4158.84,4208.47,116.846356,2017-09-11 23:59:59.999,492361.44949891,1040,45.616391,192212.60367094
2017-09-12 00:00:00,4208.6,4394.59,4201.9,4361.0,245.264037,2017-09-12 07:59:59.999,1057666.80091886,2434,151.034756,651097.76233381
2017-09-12 08:00:00,4361.04,4373.67,4228.5,4258.72,289.441339,2017-09-12 15:59:59.999,1237989.04455114,2109,101.777476,435434.93001516
2017-09-12 16:00:00,4249.49,4280.0,4040.8,4163.72,344.924943,2017-09-12 23:59:59.999,1429534.77781952,1958,198.968438,824482.57402169
2017-09-13 00:00:00,4159.72,4165.38,3796.8,3933.76,379.838073,2017-09-13 07:59:59.999,1504788.55601433,1898,170.433307,675232.35915261
2017-09-13 08:00:00,3914.01,3976.19,3760.0,3795.0,344.480721,2017-09-13 15:59:59.999,1327224.61007606,2227,93.667224,364169.31849328
2017-09-13 16:00:00,3775.47,3991.01,3765.13,3944.69,189.143751,2017-09-13 23:59:59.999,738352.7596263,894,98.952882,386584.76326736
2017-09-14 00:00:00,3944.0,3993.0,3800.0,3869.99,223.863149,2017-09-14 07:59:59.999,863992.63297193,1270,96.479364,373395.42757457
2017-09-14 08:00:00,3846.58,3889.98,3395.0,3518.0,896.995053,2017-09-14 15:59:59.999,3222627.71167877,4581,432.115954,1553500.96110209
2017-09-14 16:00:00,3522.0,3533.97,3165.13,3189.02,544.163341,2017-09-14 23:59:59.999,1827641.05995755,3215,232.558658,784676.04767403
2017-09-15 00:00:00,3188.01,3460.0,3031.0,3148.0,556.637774,2017-09-15 07:59:59.999,1813063.83887764,3165,221.913543,729109.60436396
2017-09-15 08:00:00,3148.0,3856.0,2817.0,3830.0,1047.513265,2017-09-15 15:59:59.999,3441991.98768563,4810,595.769448,1962762.81103495
2017-09-15 16:00:00,3839.94,3839.98,3483.0,3700.0,364.715453,2017-09-15 23:59:59.999,1333711.36013119,2470,148.439254,544453.25298415
2017-09-16 00:00:00,3674.01,3950.0,3658.04,3847.9,428.510819,2017-09-16 07:59:59.999,1635302.2414459,3186,215.64436,823542.15870196
2017-09-16 08:00:00,3847.92,3850.0,3470.66,3567.11,618.728494,2017-09-16 15:59:59.999,2259005.4098337,3730,259.496296,946767.18710904
2017-09-16 16:00:00,3567.03,3715.0,3531.05,3714.95,250.32464,2017-09-16 23:59:59.999,910570.59593323,1893,149.747186,544226.68690808
2017-09-17 00:00:00,3685.23,3709.94,3550.0,3559.0,211.850997,2017-09-17 07:59:59.999,762178.78592219,1776,53.808371,194254.18273352
2017-09-17 08:00:00,3559.0,3660.0,3499.02,3637.33,296.699562,2017-09-17 15:59:59.999,1060274.74572801,2652,138.351337,496732.09931772
2017-09-17 16:00:00,3649.49,3748.21,3638.05,3699.99,173.620651,2017-09-17 23:59:59.999,644036.74694446,1927,81.772268,303857.34840825
2017-09-18 00:00:00,3690.0,4000.0,3690.0,3950.32,357.448391,2017-09-18 07:59:59.999,1376876.12078601,2919,162.837773,631134.82758188
2017-09-18 08:00:00,3976.58,4123.2,3848.33,4030.33,442.255206,2017-09-18 15:59:59.999,1770212.3053249,3395,184.684952,740148.0876017
2017-09-18 16:00:00,4048.99,4085.0,3928.33,4035.01,230.302858,2017-09-18 23:59:59.999,921944.63104772,1906,70.115997,280580.45607518
2017-09-19 00:00:00,4060.0,4089.97,3830.91,3936.28,345.425481,2017-09-19 07:59:59.999,1363504.75124989,2635,107.196643,423712.93301853
2017-09-19 08:00:00,3880.06,4032.02,3873.0,3965.01,296.642387,2017-09-19 15:59:59.999,1176889.63974734,2246,91.787069,364992.21304829
2017-09-19 16:00:00,3970.0,4014.56,3830.91,3910.04,260.264261,2017-09-19 23:59:59.999,1017920.80644149,2461,58.33664,228098.7357085
2017-09-20 00:00:00,3910.04,3988.83,3820.0,3913.89,258.196067,2017-09-20 07:59:59.999,1004286.25589523,2685,106.381028,416387.39809596
2017-09-20 08:00:00,3913.91,4046.08,3859.31,4005.0,236.162256,2017-09-20 15:59:59.999,936005.37588047,2428,142.575965,563657.3901829
2017-09-20 16:00:00,3997.5,4039.99,3860.09,3900.0,226.576753,2017-09-20 23:59:59.999,899292.82131234,2118,146.318145,582165.3615603
2017-09-21 00:00:00,3889.99,3910.0,3800.0,3885.23,277.17323,2017-09-21 07:59:59.999,1069010.7731022,2482,155.799905,601155.01740385
2017-09-21 08:00:00,3885.23,3904.81,3668.6,3727.44,344.078675,2017-09-21 15:59:59.999,1302946.84528108,2963,167.591706,639208.82763857
2017-09-21 16:00:00,3730.0,3747.48,3567.0,3609.99,380.402179,2017-09-21 23:59:59.999,1385085.45982936,3269,193.867315,705874.79369505
2017-09-22 00:00:00,3592.84,3750.0,3592.84,3658.46,271.387891,2017-09-22 07:59:59.999,999187.84493762,2676,174.035759,640043.88463927
2017-09-22 08:00:00,3658.46,3669.0,3505.55,3514.07,331.834871,2017-09-22 15:59:59.999,1188446.45608995,2998,175.150107,628420.1946618
2017-09-22 16:00:00,3527.97,3645.18,3514.08,3595.87,235.743663,2017-09-22 23:59:59.999,844137.13190092,2478,161.874003,579640.53324067
2017-09-23 00:00:00,3595.88,3717.44,3542.91,3689.38,224.995479,2017-09-23 07:59:59.999,819066.76191532,2256,124.277498,453207.65446861
2017-09-23 08:00:00,3689.38,3817.19,3688.0,3746.36,273.469011,2017-09-23 15:59:59.999,1026868.41850689,2693,167.013792,627359.71261452
2017-09-23 16:00:00,3746.37,3790.0,3700.0,3780.0,254.328301,2017-09-23 23:59:59.999,953771.8190929,3453,140.65542,528111.77619159
2017-09-24 00:00:00,3779.54,3789.99,3622.76,3669.0,296.860916,2017-09-24 07:59:59.999,1103569.0913805,3534,125.00298,465814.93117887
2017-09-24 08:00:00,3668.0,3730.0,3627.19,3691.31,230.468446,2017-09-24 15:59:59.999,848793.90789275,3318,108.884805,401988.22186877
2017-09-24 16:00:00,3707.89,3707.94,3624.38,3660.02,134.307028,2017-09-24 23:59:59.999,493425.43692716,1872,57.051385,210161.17333324
2017-09-25 00:00:00,3660.02,3815.74,3653.69,3780.6,285.724436,2017-09-25 07:59:59.999,1071636.15193624,3252,112.07118,420799.31018139
2017-09-25 08:00:00,3789.5,3945.0,3747.94,3910.01,254.142513,2017-09-25 15:59:59.999,973410.48130086,3706,115.314511,442108.73309476
2017-09-25 16:00:00,3915.01,3979.87,3887.8,3920.75,188.127764,2017-09-25 23:59:59.999,739124.21994612,2782,71.453468,281181.13637266
2017-09-26 00:00:00,3928.0,3959.56,3850.05,3925.0,250.300186,2017-09-26 07:59:59.999,978503.29810333,3441,114.958707,449794.49823764
2017-09-26 08:00:00,3925.0,3976.99,3888.28,3920.0,128.849177,2017-09-26 15:59:59.999,506105.16478479,2228,50.046912,196933.78017122
2017-09-26 16:00:00,3925.0,3939.99,3880.0,3882.35,147.578624,2017-09-26 23:59:59.999,576587.11579197,2302,60.564664,237196.74015444
2017-09-27 00:00:00,3882.36,3973.0,3872.81,3968.0,114.16673,2017-09-27 07:59:59.999,448973.09087074,1840,46.245891,182365.31193385
2017-09-27 08:00:00,3952.1,4119.0,3931.0,4090.0,312.866409,2017-09-27 15:59:59.999,1270643.38713904,3718,196.142386,796987.78811
2017-09-27 16:00:00,4099.8,4249.94,4075.05,4193.0,201.137827,2017-09-27 23:59:59.999,835013.33646123,2815,105.695364,439168.9310774
2017-09-28 00:00:00,4192.11,4300.0,4140.01,4246.0,261.180197,2017-09-28 07:59:59.999,1099766.41606194,3624,109.124066,459391.06679831
2017-09-28 08:00:00,4247.0,4272.45,4101.0,4168.0,339.66173,2017-09-28 15:59:59.999,1418774.00346181,4405,144.324053,603714.20670689
2017-09-28 16:00:00,4133.03,4209.68,4110.0,4174.5,248.943398,2017-09-28 23:59:59.999,1034638.45084979,3397,111.069333,462362.08430047
2017-09-29 00:00:00,4178.98,4215.0,3952.01,4090.1,902.324517,2017-09-29 07:59:59.999,3657416.19749305,6570,414.073317,1679424.6824741
2017-09-29 08:00:00,4090.1,4251.0,4060.02,4143.02,390.171288,2017-09-29 15:59:59.999,1623642.87515569,4600,147.387506,612332.61747999
2017-09-29 16:00:00,4145.03,4263.86,4101.01,4174.69,309.81376,2017-09-29 23:59:59.999,1290687.28635202,3664,98.947412,414396.51556025
